Model,BIRADS,k,Precision,Recall,NDCG,Search Time (s),Count
DenseNet121,1,1,1.0,0.0012484394506866417,1.0,0.0007688404167614256,24
DenseNet121,1,5,0.85,0.005305867665418227,0.9747166312403679,0.0006608220831064198,24
DenseNet121,1,10,0.8375,0.010455680399500622,0.9622539240290661,0.0006867666675437552,24
DenseNet121,1,20,0.8354166666666667,0.020859342488555973,0.9542742159895924,0.0006671016642940231,24
DenseNet121,1,50,0.7958333333333333,0.04967748647523928,0.9494890542534314,0.0006537199966260232,24
DenseNet121,1,100,0.7862499999999999,0.0981585518102372,0.9484354788508126,0.0007734466654558976,24
DenseNet121,2,1,1.0,0.003003003003003003,1.0,0.0006604799942579121,2
DenseNet121,2,5,0.2,0.003003003003003003,1.0,0.0006042399967554956,2
DenseNet121,2,10,0.15000000000000002,0.0045045045045045045,0.8951932397747531,0.0008076049969531595,2
DenseNet121,2,20,0.25,0.015015015015015015,0.6834518961029141,0.0004570400051306933,2
DenseNet121,2,50,0.26,0.03903903903903904,0.6675947016839949,0.0006308399955742062,2
DenseNet121,2,100,0.28,0.08408408408408408,0.6857244011867807,0.000708264991408214,2
DenseNet121,4,1,1.0,0.003134796238244514,1.0,0.0006577999913133681,1
DenseNet121,4,5,0.4,0.006269592476489028,0.8503449055347546,0.0008477299939841032,1
DenseNet121,4,10,0.6,0.018808777429467086,0.8014787115756214,0.0008059999905526638,1
DenseNet121,4,20,0.5,0.03134796238244514,0.8001755239744569,0.00046902999747544527,1
DenseNet121,4,50,0.44,0.06896551724137931,0.7877430345397238,0.0006229400052689016,1
DenseNet121,4,100,0.4,0.12539184952978055,0.7949312872311597,0.0006482099997811019,1
ResNet50,1,1,1.0,0.0012484394506866417,1.0,0.0016703366631797203,24
ResNet50,1,5,0.8666666666666666,0.00540990428630878,0.974073960470888,0.001708032499300316,24
ResNet50,1,10,0.7833333333333333,0.009779442363712027,0.9593181908188414,0.0019322733297788847,24
ResNet50,1,20,0.7729166666666667,0.01929879317519767,0.9436656445219093,0.0017769254166826916,24
ResNet50,1,50,0.7666666666666666,0.04785684560965461,0.9368496514461925,0.0016827495841425842,24
ResNet50,1,100,0.74625,0.09316479400749063,0.9359232272903634,0.0016484070850613837,24
ResNet50,2,1,1.0,0.003003003003003003,1.0,0.0012777800031471996,2
ResNet50,2,5,0.6000000000000001,0.009009009009009009,0.937775191189971,0.0012197599979117512,2
