model,distance_metric,query_image,k,precision,recall,ndcg,search_time_mean,search_time_std,birads_category
ResNet50,L2,0,1,1.0,0.0012484394506866417,1.0,0.0016775700030848383,0.0007689845770789114,1
ResNet50,L2,0,5,0.8,0.004993757802746567,1.0,0.0015142500051297247,0.00043666980568702924,1
ResNet50,L2,0,10,0.6,0.00749063670411985,0.971476156593264,0.0017859500017948448,0.0004790580916856786,1
ResNet50,L2,0,20,0.7,0.017478152309612985,0.9312798554445427,0.001143349998164922,0.000390691220328109,1
ResNet50,L2,0,50,0.76,0.04744069912609238,0.924532527648099,0.0016664700233377516,0.0006394910089258086,1
ResNet50,L2,0,100,0.65,0.08114856429463171,0.9221394046402152,0.0016340099973604083,0.0009042028781785442,1
ResNet50,L2,10,1,1.0,0.0012484394506866417,1.0,0.0017079299897886813,0.0006846565883638232,1
ResNet50,L2,10,5,1.0,0.006242197253433208,1.0,0.0014430299983359874,0.0004342711411168314,1
ResNet50,L2,10,10,0.8,0.009987515605493134,1.0,0.0016204499872401357,0.0004532946533587106,1
ResNet50,L2,10,20,0.8,0.019975031210986267,0.9740768064788482,0.0017653300077654422,0.0007813339593031011,1
ResNet50,L2,10,50,0.76,0.04744069912609238,0.9545017528227195,0.0014657699968665839,0.0008411259287191192,1
ResNet50,L2,10,100,0.71,0.08863920099875156,0.9435097396180468,0.0012537999893538654,0.0005898749298175041,1
ResNet50,L2,20,1,1.0,0.0012484394506866417,1.0,0.002067839982919395,0.0010578326192489634,1
ResNet50,L2,20,5,0.8,0.004993757802746567,0.9047172294870751,0.0023692700080573557,0.0005076338860953529,1
ResNet50,L2,20,10,0.6,0.00749063670411985,0.8842221264874298,0.0019998099887743592,0.0006094361474874794,1
ResNet50,L2,20,20,0.7,0.017478152309612985,0.8739218129827185,0.0023118999903090297,0.0013868256957282668,1
ResNet50,L2,20,50,0.68,0.04244694132334582,0.8838799664414101,0.0017354400013573467,0.0005802946795999345,1
ResNet50,L2,20,100,0.7,0.08739076154806492,0.8958171958089283,0.002005289995577186,0.0008298697187008622,1
ResNet50,L2,30,1,1.0,0.0012484394506866417,1.0,0.0020896899979561566,0.0008499247467449399,1
ResNet50,L2,30,5,1.0,0.006242197253433208,1.0,0.002298679994419217,0.0008430028741708562,1
ResNet50,L2,30,10,0.9,0.011235955056179775,1.0,0.0026502400054596365,0.0012306181166747718,1
ResNet50,L2,30,20,0.8,0.019975031210986267,0.9855186244392286,0.0021550800069235266,0.0009674022686015629,1
ResNet50,L2,30,50,0.76,0.04744069912609238,0.9625066413905236,0.0014514100039377809,0.0005274777131808419,1
ResNet50,L2,30,100,0.79,0.0986267166042447,0.9570965757968546,0.0020766799920238555,0.0006594747417736376,1
ResNet50,L2,50,1,1.0,0.0012484394506866417,1.0,0.0016347700147889555,0.0004036641862446408,1
ResNet50,L2,50,5,0.8,0.004993757802746567,0.9828920819566879,0.0015128100174479186,0.0007219058691193621,1
ResNet50,L2,50,10,0.8,0.009987515605493134,0.9641803458261541,0.0017549500218592585,0.0012925446082918419,1
ResNet50,L2,50,20,0.8,0.019975031210986267,0.9469975485490323,0.002240080013871193,0.0008164920418565307,1
ResNet50,L2,50,50,0.78,0.04868913857677903,0.9443636878687474,0.0018982599838636815,0.000734178203704213,1
ResNet50,L2,50,100,0.74,0.09238451935081149,0.9402286426137783,0.0015372699941508471,0.0007465328533097381,1
ResNet50,Cosine,0,1,1.0,0.0012484394506866417,1.0,0.001528450008481741,0.0004871870561155714,1
ResNet50,Cosine,0,5,0.8,0.004993757802746567,1.0,0.0016101000015623867,0.0009020055597952089,1
ResNet50,Cosine,0,10,0.6,0.00749063670411985,0.9783978399515039,0.002221239998470992,0.0009711457420872828,1
ResNet50,Cosine,0,20,0.75,0.018726591760299626,0.9358490366233708,0.0026324500213377178,0.0016519088767451247,1
ResNet50,Cosine,0,50,0.76,0.04744069912609238,0.9289591836514468,0.002814729989040643,0.0012526357279379772,1
ResNet50,Cosine,0,100,0.67,0.08364544319600499,0.9277899962473183,0.0023059200146235527,0.0009258724881784403,1
ResNet50,Cosine,10,1,1.0,0.0012484394506866417,1.0,0.002008309995289892,0.000660815736640851,1
ResNet50,Cosine,10,5,1.0,0.006242197253433208,1.0,0.001799979980569333,0.0006398336178231263,1
ResNet50,Cosine,10,10,0.9,0.011235955056179775,0.9971876401972101,0.0011094999848864973,0.00041417100238153607,1
ResNet50,Cosine,10,20,0.9,0.02247191011235955,0.9816258260737211,0.0014055399922654032,0.0006610343441693177,1
ResNet50,Cosine,10,50,0.74,0.046192259675405745,0.9599154724121329,0.001035039988346398,0.0002479902370197045,1
ResNet50,Cosine,10,100,0.72,0.0898876404494382,0.9467933668183192,0.0015223799855448306,0.0005569624664351293,1
ResNet50,Cosine,20,1,1.0,0.0012484394506866417,1.0,0.0012759799952618777,0.000456150016247402,1
ResNet50,Cosine,20,5,0.8,0.004993757802746567,0.9047172294870751,0.0010621099965646863,0.00037895605571232777,1
ResNet50,Cosine,20,10,0.8,0.009987515605493134,0.8995710933840294,0.0011477900086902082,0.0005316676001078432,1
ResNet50,Cosine,20,20,0.65,0.016229712858926344,0.8890559556758105,0.00132224002154544,0.0005430220251618464,1
ResNet50,Cosine,20,50,0.72,0.0449438202247191,0.8985364394308663,0.0009152899961918593,0.00022787280417633723,1
ResNet50,Cosine,20,100,0.69,0.08614232209737828,0.9028317316540991,0.0009605999919585883,0.00029340961577504945,1
ResNet50,Cosine,30,1,1.0,0.0012484394506866417,1.0,0.0008600799832493067,0.0002034870428333935,1
ResNet50,Cosine,30,5,1.0,0.006242197253433208,1.0,0.001145269989501685,0.000803522587192196,1
ResNet50,Cosine,30,10,0.9,0.011235955056179775,0.9937947856332161,0.0016190700116567314,0.0008328358513225262,1
ResNet50,Cosine,30,20,0.8,0.019975031210986267,0.9809752065803625,0.000900520000141114,0.00015737135560215323,1
ResNet50,Cosine,30,50,0.78,0.04868913857677903,0.9603203146518748,0.0014702699962072074,0.00040734924872488443,1
ResNet50,Cosine,30,100,0.78,0.09737827715355805,0.9537172872199728,0.0010618700180202723,0.0004653966522034458,1
ResNet50,Cosine,50,1,1.0,0.0012484394506866417,1.0,0.001227810001000762,0.0006568561690904592,1
ResNet50,Cosine,50,5,0.8,0.004993757802746567,0.9828920819566879,0.0012259200215339662,0.0006601535515802158,1
ResNet50,Cosine,50,10,0.8,0.009987515605493134,0.9672068480996276,0.001358609995804727,0.0006795728615437158,1
ResNet50,Cosine,50,20,0.8,0.019975031210986267,0.9475315116839487,0.0011452800128608942,0.00035026355548646885,1
ResNet50,Cosine,50,50,0.78,0.04868913857677903,0.943277067445009,0.0011016300064511596,0.0004772164279247435,1
ResNet50,Cosine,50,100,0.76,0.09488139825218476,0.940403277116929,0.0014326600008644163,0.00034275352088189106,1
