model,query_image,k,precision,recall,ndcg,rank_of_true_label,min_distance,max_distance,mean_distance,search_time_mean,search_time_std,birads_category
DenseNet121,0,1,1.0,0.0012484394506866417,1.0,1,0.0,0.0,0.0,0.0038615099852904677,0.009964467572955962,1
DenseNet121,0,5,0.8,0.004993757802746567,0.9828920819566879,1,0.0,152.13048,105.33346,0.000478989991825074,0.0001923630531719825,1
DenseNet121,0,10,0.9,0.011235955056179775,0.9667147927059906,1,0.0,168.81995,133.54172,0.0005846599931828677,0.00043527853481235807,1
DenseNet121,0,20,0.8,0.019975031210986267,0.9628989484528617,1,0.0,179.54343,154.03532,0.0007942600059323013,0.00018105604509941817,1
DenseNet121,0,50,0.8,0.049937578027465665,0.9584600355931789,1,0.0,205.6437,178.72772,0.0004514300148002803,0.00016583480893773953,1
DenseNet121,0,100,0.79,0.0986267166042447,0.9536641657729233,1,0.0,243.21423,202.75845,0.0007570299901999533,0.000449827967639568,1
DenseNet121,10,1,1.0,0.0012484394506866417,1.0,1,0.0,0.0,0.0,0.000800629984587431,0.0005192819605934531,1
DenseNet121,10,5,0.8,0.004993757802746567,1.0,1,0.0,200.95029,148.42805,0.0006691099959425628,0.0005154632237048545,1
DenseNet121,10,10,0.7,0.008739076154806492,0.9682087825918937,1,0.0,209.35944,178.42729,0.0005142799927853048,0.00014092659009310376,1
DenseNet121,10,20,0.8,0.019975031210986267,0.9427455104714111,1,0.0,229.19849,200.05333,0.0008298899978399277,0.00021217884340946067,1
DenseNet121,10,50,0.82,0.05118601747815231,0.9430808952639396,1,0.0,253.38998,226.00238,0.00041528999572619795,0.00013193749678489205,1
DenseNet121,10,100,0.8,0.09987515605493133,0.9458303574993788,1,0.0,278.16965,246.88785,0.0008198800031095743,0.0005039673140684194,1
DenseNet121,20,1,1.0,0.0012484394506866417,1.0,1,0.0,0.0,0.0,0.0008881900110282003,0.0005591210780464309,1
DenseNet121,20,5,0.8,0.004993757802746567,0.9047172294870751,1,0.0,155.4143,118.29446,0.0010055400081910193,0.0004599654361307592,1
DenseNet121,20,10,0.9,0.011235955056179775,0.9196461703481416,1,0.0,174.40247,142.5015,0.0012613600003533066,0.0004892628427254655,1
DenseNet121,20,20,0.9,0.02247191011235955,0.9328210496667952,1,0.0,193.38123,165.2598,0.000968090002425015,0.00036181728558581775,1
DenseNet121,20,50,0.78,0.04868913857677903,0.9348230964174106,1,0.0,218.02185,190.7461,0.0013091199798509479,0.00045032065577514153,1
DenseNet121,20,100,0.77,0.09612983770287141,0.938150407817766,1,0.0,245.79512,211.76968,0.001496650034096092,0.0006338088550697179,1
DenseNet121,30,1,1.0,0.0012484394506866417,1.0,1,0.0,0.0,0.0,0.0008499399875290692,0.0004454473244909023,1
