model,query_image,k,precision,recall,ndcg,rank_of_true_label,min_distance,max_distance,mean_distance,search_time_mean,search_time_std,birads_category
EfficientNet,0,1,1.0,0.0012484394506866417,1.0,1,0.0,0.0,0.0,0.000735169998370111,0.0001643066733773569,1
EfficientNet,0,5,0.8,0.004993757802746567,0.9558295932317544,1,0.0,88.92717,67.92106,0.00047734000254422425,7.944758440180172e-05,1
EfficientNet,0,10,0.9,0.011235955056179775,0.9504206262110481,1,0.0,97.632385,81.800095,0.00040160000789910553,7.306263190620812e-05,1
EfficientNet,0,20,0.85,0.02122347066167291,0.950912397287349,1,0.0,106.41125,92.471924,0.0007021099911071361,0.00014618720097857944,1
EfficientNet,0,50,0.74,0.046192259675405745,0.9449020450483908,1,0.0,118.80327,104.849724,0.0006726199993863702,0.00015883745300011674,1
EfficientNet,0,100,0.72,0.0898876404494382,0.9377177173413199,1,0.0,132.16133,115.389694,0.000663319998420775,0.000389352942182338,1
EfficientNet,10,1,1.0,0.0012484394506866417,1.0,1,0.0,0.0,0.0,0.0005269399960525333,8.891706606638305e-05,1
EfficientNet,10,5,1.0,0.006242197253433208,1.0,1,0.0,75.76775,58.501423,0.000552350003272295,0.00010531607662743349,1
EfficientNet,10,10,0.8,0.009987515605493134,0.9851514063429596,1,0.0,83.87289,70.45764,0.0006299899891018867,6.188538785395762e-05,1
EfficientNet,10,20,0.7,0.017478152309612985,0.9560303201526462,1,0.0,95.311554,80.1577,0.0005107400007545948,0.00010814488398796414,1
EfficientNet,10,50,0.74,0.046192259675405745,0.9375070160904668,1,0.0,108.40826,93.726906,0.0006941400119103491,5.9460058536040364e-05,1
EfficientNet,10,100,0.78,0.09737827715355805,0.9379200107517397,1,0.0,122.957954,105.09867,0.000531709985807538,0.00011744884645585372,1
EfficientNet,20,1,1.0,0.0012484394506866417,1.0,1,0.0,0.0,0.0,0.0004795099957846105,0.00011358806806185605,1
EfficientNet,20,5,0.4,0.0024968789013732834,0.8503449055347546,1,0.0,83.26628,59.29818,0.0005267499946057796,0.00010968022925861485,1
EfficientNet,20,10,0.5,0.006242197253433208,0.8112231196105879,1,0.0,90.5858,73.78441,0.00042391001479700206,9.23706379254102e-05,1
EfficientNet,20,20,0.7,0.017478152309612985,0.8266404525149149,1,0.0,98.9259,84.06853,0.0004668500041589141,9.4465786809821e-05,1
EfficientNet,20,50,0.76,0.04744069912609238,0.8748410000556315,1,0.0,115.438484,97.960144,0.0005619999952614308,7.197009622425631e-05,1
EfficientNet,20,100,0.74,0.09238451935081149,0.8962103829606892,1,0.0,128.34566,110.288055,0.0006015299935825169,0.00021082916574484116,1
EfficientNet,30,1,1.0,0.0012484394506866417,1.0,1,0.0,0.0,0.0,0.0005525400047190487,0.000110587258055343,1
EfficientNet,30,5,0.6,0.003745318352059925,0.8854598815714874,1,0.0,82.083115,58.79055,0.000752210000064224,0.0003004031312837107,1
EfficientNet,30,10,0.7,0.008739076154806492,0.8776493998558375,1,0.0,87.76034,72.1197,0.0005006699939258397,8.503399794841913e-05,1
EfficientNet,30,20,0.75,0.018726591760299626,0.8836784003817008,1,0.0,98.840744,82.96115,0.0004523100098595023,0.00017425770667628564,1
EfficientNet,30,50,0.78,0.04868913857677903,0.904591389768904,1,0.0,118.35274,98.60415,0.00040114999283105137,8.836474643220092e-05,1
EfficientNet,30,100,0.77,0.09612983770287141,0.9173389677085164,1,0.0,141.68619,115.05121,0.0007583100115880371,0.00018163347977461782,1
EfficientNet,50,1,1.0,0.0012484394506866417,1.0,1,0.0,0.0,0.0,0.0004561199923045933,0.00014169511839617262,1
EfficientNet,50,5,1.0,0.006242197253433208,1.0,1,0.0,105.148476,81.39118,0.0004999699885956943,0.00016743828256870233,1
EfficientNet,50,10,0.9,0.011235955056179775,0.9937947856332161,1,0.0,113.62898,97.03918,0.00042868000455200674,0.00014297405510045933,1
EfficientNet,50,20,0.85,0.02122347066167291,0.9797807437721788,1,0.0,118.28776,106.34763,0.0004388200119137764,0.00012194392547267633,1
