model,query_image,k,precision,recall,ndcg,rank_of_true_label,min_distance,max_distance,mean_distance,search_time_mean,search_time_std,birads_category
ResNet50,0,1,1.0,0.0012484394506866417,1.0,1,0.0,0.0,0.0,0.0016862899879924952,0.0006500727978634599,1
ResNet50,0,5,0.8,0.004993757802746567,1.0,1,0.0,106.509796,79.469635,0.0018359599984250964,0.0004434255269658972,1
ResNet50,0,10,0.6,0.00749063670411985,0.971476156593264,1,0.0,113.208694,95.236046,0.001683109998703003,0.00044586517492861927,1
ResNet50,0,20,0.7,0.017478152309612985,0.9312798554445427,1,0.0,120.5713,105.97066,0.0015400700038298964,0.0004101341148854353,1
ResNet50,0,50,0.76,0.04744069912609238,0.924532527648099,1,0.0,138.71167,120.87953,0.0014679999789223076,0.0002934701784800832,1
ResNet50,0,100,0.65,0.08114856429463171,0.9221394046402152,1,0.0,159.99475,134.72836,0.001338919997215271,0.00037095648683918293,1
ResNet50,10,1,1.0,0.0012484394506866417,1.0,1,0.0,0.0,0.0,0.0015038699842989446,0.0005886680499424046,1
ResNet50,10,5,1.0,0.006242197253433208,1.0,1,0.0,88.466,66.681046,0.0010754200047813356,0.00029544352092305187,1
ResNet50,10,10,0.8,0.009987515605493134,1.0,1,0.0,100.3434,80.30821,0.0015753599931485952,0.0008313860993671495,1
ResNet50,10,20,0.8,0.019975031210986267,0.9740768064788482,1,0.0,111.73155,93.386154,0.001363529998343438,0.00048581293170613755,1
ResNet50,10,50,0.76,0.04744069912609238,0.9545017528227195,1,0.0,125.25281,108.97376,0.001691999996546656,0.0008775304234520053,1
ResNet50,10,100,0.71,0.08863920099875156,0.9435097396180468,1,0.0,145.45905,122.68357,0.0016476599965244531,0.0008128478909823494,1
ResNet50,20,1,1.0,0.0012484394506866417,1.0,1,0.0,0.0,0.0,0.0012711500166915357,0.0003272610749517354,1
ResNet50,20,5,0.8,0.004993757802746567,0.9047172294870751,1,0.0,126.34743,95.154526,0.001872770010959357,0.00066351635396805,1
ResNet50,20,10,0.6,0.00749063670411985,0.8842221264874298,1,0.0,139.84315,115.47209,0.0013159999856725336,0.0003839426602519246,1
ResNet50,20,20,0.7,0.017478152309612985,0.8739218129827185,1,0.0,146.93533,129.64848,0.0011779199936427175,0.0007147405038569696,1
ResNet50,20,50,0.68,0.04244694132334582,0.8838799664414101,1,0.0,162.95865,145.01996,0.0012079900014214217,0.00042677459302974,1
ResNet50,20,100,0.7,0.08739076154806492,0.8958171958089283,1,0.0,176.78821,157.36742,0.0010665100300684572,0.0002125690911615598,1
ResNet50,30,1,1.0,0.0012484394506866417,1.0,1,0.0,0.0,0.0,0.001935890014283359,0.0008337419118454024,1
ResNet50,30,5,1.0,0.006242197253433208,1.0,1,0.0,107.54171,82.26008,0.0012894899933598935,0.0006148699167095647,1
ResNet50,30,10,0.9,0.011235955056179775,1.0,1,0.0,116.43965,98.03856,0.0014919699868187308,0.0008991280135582296,1
ResNet50,30,20,0.8,0.019975031210986267,0.9855186244392286,1,0.0,129.75638,111.31825,0.0017727299709804356,0.0007056975365808709,1
