model,query_image,k,precision,recall,ndcg,rank_of_true_label,min_distance,max_distance,mean_distance,search_time_mean,search_time_std,birads_category
VGG16,0,1,1.0,0.0012484394506866417,1.0,1,0.0,0.0,0.0,0.0027182299876585604,0.0004443755405806727,1
VGG16,0,5,0.4,0.0024968789013732834,0.8503449055347546,1,0.0,356.7273,263.25943,0.002619309991132468,0.0006333310032732241,1
VGG16,0,10,0.6,0.00749063670411985,0.8112537795184347,1,0.0,375.82867,316.97778,0.00251710998127237,0.0002854541172546713,1
VGG16,0,20,0.65,0.016229712858926344,0.826706269170859,1,0.0,399.57004,353.4269,0.0026946199941448867,0.0004383526304582413,1
VGG16,0,50,0.62,0.03870162297128589,0.8469629165952991,1,0.0,457.15833,401.3976,0.002095719985663891,0.00017867629449474403,1
VGG16,0,100,0.71,0.08863920099875156,0.8729123253557057,1,0.0,512.8247,445.0534,0.00214490998769179,0.00043619248949616947,1
VGG16,10,1,1.0,0.0012484394506866417,1.0,1,0.0,0.0,0.0,0.0031969199771992862,0.0009148523963574279,1
VGG16,10,5,0.8,0.004993757802746567,1.0,1,0.0,255.7533,182.63611,0.004858540021814406,0.001771879529094979,1
VGG16,10,10,0.8,0.009987515605493134,0.9752652438087495,1,0.0,289.64526,233.99751,0.00392991000553593,0.0021396045783113856,1
VGG16,10,20,0.75,0.018726591760299626,0.9570881366681273,1,0.0,319.0487,269.83478,0.002207439998164773,0.0002160065175438343,1
VGG16,10,50,0.82,0.05118601747815231,0.9498655517960815,1,0.0,378.65674,321.46933,0.0024440000066533684,0.0006358015340312058,1
VGG16,10,100,0.77,0.09612983770287141,0.9481643552188859,1,0.0,434.69147,364.67133,0.002417580026667565,0.0006348431029019343,1
VGG16,20,1,1.0,0.0012484394506866417,1.0,1,0.0,0.0,0.0,0.0024493000004440547,0.0005295791563371483,1
VGG16,20,5,0.8,0.004993757802746567,0.9047172294870751,1,0.0,373.53207,281.81024,0.0022498699952848257,0.0005568379614332313,1
VGG16,20,10,0.8,0.009987515605493134,0.9165542635924872,1,0.0,414.9372,339.9693,0.0020641999901272355,0.0003458324257377377,1
VGG16,20,20,0.75,0.018726591760299626,0.9236227248022354,1,0.0,457.39026,389.01752,0.001972029998432845,0.0003148041633940003,1
VGG16,20,50,0.76,0.04744069912609238,0.9301492219493189,1,0.0,511.46954,445.2744,0.0019917399855330586,0.00038331100404520347,1
VGG16,20,100,0.78,0.09737827715355805,0.9358367351564114,1,0.0,567.29535,492.71542,0.0019119199947454034,0.0002955061717859066,1
VGG16,30,1,1.0,0.0012484394506866417,1.0,1,0.0,0.0,0.0,0.002342540002427995,0.0005276092190287789,1
VGG16,30,5,1.0,0.006242197253433208,1.0,1,0.0,303.4297,226.65556,0.0018889900064095854,0.0004972189319682799,1
VGG16,30,10,0.9,0.011235955056179775,0.9895948844467957,1,0.0,324.76743,270.67767,0.0017935799900442363,0.00042326836509603015,1
VGG16,30,20,0.85,0.02122347066167291,0.9757691090243347,1,0.0,345.49887,303.8471,0.0018320399918593465,0.00033217730812373065,1
VGG16,30,50,0.76,0.04744069912609238,0.9587051297563481,1,0.0,425.84003,355.20648,0.0018506199936382472,0.00041193415853323876,1
VGG16,30,100,0.75,0.09363295880149813,0.9509421360537508,1,0.0,487.16052,407.5634,0.001767059986013919,0.00020175350843869565,1
VGG16,50,1,1.0,0.0012484394506866417,1.0,1,0.0,0.0,0.0,0.0018408800009638072,0.00021817422975063845,1
VGG16,50,5,0.6,0.003745318352059925,0.8529278650606567,1,0.0,327.87787,249.94365,0.001992500014603138,0.00034491280563113885,1
